id,rootname,filter,expstart,targname
276446,icte11b7q,F814W,58350.13672,LUHMAN16AB-RICCIOLO-1
276443,icte11bbq,F814W,58350.14844,LUHMAN16AB-RICCIOLO-1
278174,idhd10eyq,F814W,58379.01172,HERCWEST
278173,idhd10f5q,F814W,58379.02734,HERCWEST
278175,idhd10ftq,F814W,58379.07813,HERCWEST
278177,idhd10fxq,F814W,58379.09375,HERCWEST
278178,idhd10g0q,F814W,58379.14063,HERCWEST
278176,idhd10g4q,F814W,58379.16016,HERCWEST
278132,idhd08beq,F606W,58378.15234,HERCWEST
278130,idhd08bhq,F606W,58378.16797,HERCWEST
280466,idjf17ctq,F814W,58434.23828,ANY
280471,idjf17cxq,F814W,58434.25,ANY
280468,idjf17d1q,F814W,58434.26172,ANY
280889,idl320fqq,F336W,58437.29688,G1-MAYALL-II
280886,idl320fuq,F336W,58437.30859,G1-MAYALL-II
280892,idl320fyq,F336W,58437.36328,G1-MAYALL-II
280887,idl320g2q,F336W,58437.375,G1-MAYALL-II
280888,idl320gaq,F814W,58437.44141,G1-MAYALL-II
280893,idl320geq,F814W,58437.45313,G1-MAYALL-II
280610,idnz03jiq,F555W,58435.39063,HD-80606
280559,idnz03jkq,F555W,58435.39453,HD-80606
283719,idkf01cuq,F814W,58476.29297,ANY
284663,idpv04ohq,F606W,58501.07422,PSZ1-ARC
287333,idhd56s7q,F814W,58542.30078,HERCEAST
287608,idpv02n1q,F606W,58548.83594,PSZ1-ARC
287605,idpv02n3q,F606W,58548.84766,PSZ1-ARC
288016,idl902eqq,F555W,58553.86719,PSZ1G311.65-18.48
288010,idl902erq,F555W,58553.87891,PSZ1G311.65-18.48
288015,idl902etq,F555W,58553.90234,PSZ1G311.65-18.48
287997,idl902euq,F555W,58553.9375,PSZ1G311.65-18.48
288008,idl902ezq,F555W,58553.96875,PSZ1G311.65-18.48
288011,idl902f1q,F555W,58553.98047,PSZ1G311.65-18.48
288003,idl902f6q,F555W,58554.00391,PSZ1G311.65-18.48
288308,idq26qq4q,F814W,58559.69141,ANY
288305,idq26qq6q,F814W,58559.69922,ANY
288307,idq26qq9q,F606W,58559.70703,ANY
288304,idq26qqbq,F606W,58559.75391,ANY
288335,idxb73cgq,F814W,58560.36328,N3254
288338,idxb73ciq,F814W,58560.37109,N3254
289237,idml05k1q,F814W,58575.47266,INTERACTING-GAL-122532+501959
289239,idml05k3q,F814W,58575.50781,INTERACTING-GAL-122532+501959
289244,idml05k5q,F336W,58575.51563,INTERACTING-GAL-122532+501959
289242,idml05k7q,F336W,58575.52344,INTERACTING-GAL-122532+501959
289233,idml05k9q,F336W,58575.52734,INTERACTING-GAL-122532+501959
289062,idq24kvkq,F606W,58571.625,ANY
289860,idz301dsq,F814W,58586.77344,LAWD-37-SOURCE
289868,idz301duq,F814W,58586.77734,LAWD-37-SOURCE
